start_id	button_label	expected_id	expected_text	actual_id	status
home	扫码签名	sign_psbt_qr		sign_psbt_qr	ok
home	助记词	pi_mnemonic_tools		pi_mnemonic_tools	ok
home	连接钱包	pi_connect_wallet		pi_connect_wallet	ok
home	设置	settings		settings	ok
home	自检	pi_self_check		pi_self_check	ok
home	工具	tools		tools	ok
tools	二维码	tools_create_qr		tools_create_qr	ok
tools	扫码	tools_qr_capture		tools_qr_capture	ok
tools	文件	tools_file_manager		tools_file_manager	ok
pi_mnemonic_tools	导入	load_mnemonic		load_mnemonic	ok
pi_mnemonic_tools	创建	new_mnemonic		new_mnemonic	ok
pi_mnemonic_tools	密语	login_passphrase		login_passphrase	ok
pi_mnemonic_tools	高级	pi_mnemonic_advanced		pi_mnemonic_advanced	ok
pi_mnemonic_advanced	派生地址	custom_derivation		custom_derivation	ok
pi_mnemonic_advanced	自检	bip39_check_tools		bip39_check_tools	ok
pi_connect_wallet	OKX	connect_okx		connect_okx	ok
pi_connect_wallet	Bitget	connect_bitget		connect_bitget	ok
pi_connect_wallet	MetaMask	connect_metamask		connect_metamask	ok
pi_connect_wallet	Rabby	connect_rabby		connect_rabby	ok
pi_connect_wallet	TokenPocket	connect_tokenpocket		connect_tokenpocket	ok
pi_connect_wallet	派生地址	custom_derivation		custom_derivation	ok
pi_connect_wallet	BTC	btc_wallet		btc_wallet	ok
connect_okx	助记词	web3_okx_mnemonic		web3_okx_mnemonic	ok
connect_okx	智能卡	web3_okx_satochip		web3_okx_satochip	ok
connect_bitget	助记词	web3_bitget_mnemonic		web3_bitget_mnemonic	ok
connect_bitget	智能卡	web3_bitget_satochip		web3_bitget_satochip	ok
connect_metamask	助记词	web3_metamask_mnemonic		web3_metamask_mnemonic	ok
connect_metamask	智能卡	web3_metamask_satochip		web3_metamask_satochip	ok
connect_rabby	助记词	web3_rabby_mnemonic		web3_rabby_mnemonic	ok
connect_rabby	智能卡	web3_rabby_satochip		web3_rabby_satochip	ok
connect_tokenpocket	助记词	web3_tokenpocket_mnemonic		web3_tokenpocket_mnemonic	ok
connect_tokenpocket	智能卡	web3_tokenpocket_satochip		web3_tokenpocket_satochip	ok
btc_wallet	助记词	btc_mnemonic		btc_mnemonic	ok
btc_wallet	智能卡	btc_satochip		btc_satochip	ok
new_mnemonic	扑克牌	new_cards_entropy		new_cards_entropy	ok
new_mnemonic	十六进制	new_hex_entropy		new_hex_entropy	ok
new_mnemonic	骰子	new_dice_d6		new_dice_d6	ok
new_mnemonic	D20	new_dice_d20		new_dice_d20	ok
new_mnemonic	手动	new_words_select		new_words_select	ok
new_mnemonic	相机	new_camera_entropy		new_camera_entropy	ok
new_mnemonic	智能卡	new_seedkeeper_create_mnemonic		new_seedkeeper_create_mnemonic	ok
load_mnemonic	手动	load_manual		load_manual	ok
load_mnemonic	序号	load_digits		load_digits	ok
load_mnemonic	智能卡	load_seedkeeper_mnemonic		load_seedkeeper_mnemonic	ok
load_mnemonic	钢板	load_steel_restore		load_steel_restore	ok
load_mnemonic	点阵	load_punch_grid		load_punch_grid	ok
load_punch_grid	点阵板恢复	load_tinyseed_restore		load_tinyseed_restore	ok
load_punch_grid	1248恢复	load_stackbit_restore		load_stackbit_restore	ok
load_mnemonic	二维码	load_camera		load_camera	ok
load_mnemonic	存储卡	load_sd		load_sd	ok
pi_self_check	系统	system_overview		system_overview	ok
pi_self_check	安全	security_check		security_check	ok
pi_self_check	交付	delivery_check		delivery_check	ok
pi_self_check	智能卡	smartcard_probe		smartcard_probe	ok
pi_self_check	外设	device_tests		device_tests	ok
device_tests	触摸	test_screen_touch		test_screen_touch	ok
device_tests	相机	test_camera		test_camera	ok
device_tests	存储卡	test_storage		test_storage	ok
device_tests	供电	test_power		test_power	ok
backup_export	序号	backup_seed_words		backup_seed_words	ok
backup_export	原始熵	backup_entropy		backup_entropy	ok
backup_export	点阵板	backup_grid		backup_grid	ok
backup_export	钢板	backup_steel_punch		backup_steel_punch	ok
backup_export	1248	backup_stackbit		backup_stackbit	ok
backup_export	二维码	backup_seed_qr		backup_seed_qr	ok
settings	PIN	settings_pin		settings_pin	ok
settings	亮度	settings_display		settings_display	ok
settings	相机	settings_camera		settings_camera	ok
settings	钱包	settings_wallet		settings_wallet	ok
settings	安全	settings_security		settings_security	ok
settings	关于	about		about	ok
pi_connect_wallet	返回	home		home	ok
connect_okx	返回	pi_connect_wallet		pi_connect_wallet	ok
connect_bitget	返回	pi_connect_wallet		pi_connect_wallet	ok
connect_metamask	返回	pi_connect_wallet		pi_connect_wallet	ok
connect_rabby	返回	pi_connect_wallet		pi_connect_wallet	ok
connect_tokenpocket	返回	pi_connect_wallet		pi_connect_wallet	ok
web3_okx_mnemonic	返回	connect_okx		connect_okx	ok
web3_okx_mnemonic	回到首页	home		home	ok
web3_okx_satochip	返回	connect_okx		connect_okx	ok
web3_okx_satochip	回到首页	home		home	ok
web3_bitget_mnemonic	返回	connect_bitget		connect_bitget	ok
web3_bitget_mnemonic	回到首页	home		home	ok
web3_bitget_satochip	返回	connect_bitget		connect_bitget	ok
web3_bitget_satochip	回到首页	home		home	ok
web3_metamask_mnemonic	返回	connect_metamask		connect_metamask	ok
web3_metamask_mnemonic	回到首页	home		home	ok
web3_metamask_satochip	返回	connect_metamask		connect_metamask	ok
web3_metamask_satochip	回到首页	home		home	ok
web3_rabby_mnemonic	返回	connect_rabby		connect_rabby	ok
web3_rabby_mnemonic	回到首页	home		home	ok
web3_rabby_satochip	返回	connect_rabby		connect_rabby	ok
web3_rabby_satochip	回到首页	home		home	ok
web3_tokenpocket_mnemonic	返回	connect_tokenpocket		connect_tokenpocket	ok
web3_tokenpocket_mnemonic	回到首页	home		home	ok
web3_tokenpocket_satochip	返回	connect_tokenpocket		connect_tokenpocket	ok
web3_tokenpocket_satochip	回到首页	home		home	ok
btc_wallet	返回	pi_connect_wallet		pi_connect_wallet	ok
btc_mnemonic	返回	btc_wallet		btc_wallet	ok
btc_mnemonic	回到首页	home		home	ok
btc_satochip	返回	btc_wallet		btc_wallet	ok
btc_satochip	回到首页	home		home	ok
btc_bluewallet_zpub	返回	btc_mnemonic		btc_mnemonic	ok
btc_bluewallet_zpub	回到首页	home		home	ok
btc_bluewallet_xpub	返回	btc_mnemonic		btc_mnemonic	ok
btc_bluewallet_xpub	回到首页	home		home	ok
btc_satochip_zpub	返回	btc_satochip		btc_satochip	ok
btc_satochip_zpub	回到首页	home		home	ok
btc_satochip_xpub	返回	btc_satochip		btc_satochip	ok
btc_satochip_xpub	回到首页	home		home	ok
custom_derivation	返回	pi_mnemonic_advanced		pi_connect_wallet	wrong_target
custom_derivation	回到首页	home		custom_derivation	missing_button
pi_mnemonic_tools	返回	home		home	ok
smartcard_tools	返回	home		home	ok
smartcard_satochip_tools	返回	smartcard_tools		smartcard_tools	ok
smartcard_satochip_maint	返回	smartcard_satochip_tools		smartcard_satochip_tools	ok
smartcard_satochip_maint	回到首页	home		home	ok
smartcard_satochip_advanced_tools	返回	smartcard_satochip_tools		smartcard_satochip_tools	ok
smartcard_satochip_advanced_tools	回到首页	home		home	ok
smartcard_satochip_pubkey_tools	返回	smartcard_satochip_advanced_tools		smartcard_satochip_advanced_tools	ok
smartcard_satochip_pubkey_tools	回到首页	home		home	ok
smartcard_satochip_2fa_tools	返回	smartcard_satochip_advanced_tools		smartcard_satochip_advanced_tools	ok
smartcard_satochip_2fa_tools	回到首页	home		home	ok
smartcard_satochip_session_tools	返回	smartcard_satochip_advanced_tools		smartcard_satochip_advanced_tools	ok
smartcard_satochip_session_tools	回到首页	home		home	ok
smartcard_satochip_seedkeeper_tools	返回	smartcard_tools		smartcard_tools	ok
smartcard_satochip_setup_pin	返回	smartcard_satochip_maint		smartcard_satochip_maint	ok
smartcard_satochip_setup_pin	回到首页	home		home	ok
smartcard_satochip_export_authentikey	返回	smartcard_satochip_pubkey_tools		smartcard_satochip_pubkey_tools	ok
smartcard_satochip_export_authentikey	回到首页	home		home	ok
smartcard_satochip_import_ndef_authentikey	返回	smartcard_satochip_pubkey_tools		smartcard_satochip_pubkey_tools	ok
smartcard_satochip_import_ndef_authentikey	回到首页	home		home	ok
smartcard_satochip_import_trusted_pubkey	返回	smartcard_satochip_pubkey_tools		smartcard_satochip_pubkey_tools	ok
smartcard_satochip_import_trusted_pubkey	回到首页	home		home	ok
smartcard_satochip_export_trusted_pubkey	返回	smartcard_satochip_pubkey_tools		smartcard_satochip_pubkey_tools	ok
smartcard_satochip_export_trusted_pubkey	回到首页	home		home	ok
smartcard_satochip_set_2fa_key	返回	smartcard_satochip_2fa_tools		smartcard_satochip_2fa_tools	ok
smartcard_satochip_set_2fa_key	回到首页	home		home	ok
smartcard_satochip_reset_2fa_key	返回	smartcard_satochip_2fa_tools		smartcard_satochip_2fa_tools	ok
smartcard_satochip_reset_2fa_key	回到首页	home		home	ok
smartcard_satochip_logout_all	返回	smartcard_satochip_session_tools		smartcard_satochip_session_tools	ok
smartcard_satochip_logout_all	回到首页	home		home	ok
smartcard_seedkeeper_status_page	返回	smartcard_satochip_seedkeeper_tools		smartcard_satochip_seedkeeper_tools	ok
smartcard_seedkeeper_status_page	回到首页	home		home	ok
smartcard_seedkeeper_free_space	返回	smartcard_satochip_seedkeeper_tools		smartcard_satochip_seedkeeper_tools	ok
smartcard_seedkeeper_free_space	回到首页	home		home	ok
smartcard_seedkeeper_list_page	返回	smartcard_satochip_seedkeeper_tools		smartcard_satochip_seedkeeper_tools	ok
smartcard_seedkeeper_list_page	回到首页	home		home	ok
smartcard_seedkeeper_advanced_tools	返回	smartcard_satochip_seedkeeper_tools		smartcard_satochip_seedkeeper_tools	ok
smartcard_seedkeeper_advanced_tools	回到首页	home		home	ok
smartcard_seedkeeper_create_mnemonic	返回	smartcard_satochip_seedkeeper_tools		smartcard_satochip_seedkeeper_tools	ok
smartcard_seedkeeper_create_mnemonic	回到首页	home		home	ok
smartcard_seedkeeper_write_mnemonic	返回	smartcard_satochip_seedkeeper_tools		smartcard_satochip_seedkeeper_tools	ok
smartcard_seedkeeper_write_mnemonic	回到首页	home		home	ok
smartcard_seedkeeper_view_mnemonic	返回	smartcard_satochip_seedkeeper_tools		smartcard_satochip_seedkeeper_tools	ok
smartcard_seedkeeper_view_mnemonic	回到首页	home		home	ok
smartcard_seedkeeper_load_mnemonic	返回	smartcard_satochip_seedkeeper_tools		smartcard_satochip_seedkeeper_tools	ok
smartcard_seedkeeper_load_mnemonic	回到首页	home		home	ok
smartcard_seedkeeper_save_password	返回	smartcard_satochip_seedkeeper_tools		smartcard_satochip_seedkeeper_tools	ok
smartcard_seedkeeper_save_password	回到首页	home		home	ok
smartcard_seedkeeper_load_descriptor	返回	smartcard_satochip_seedkeeper_tools		smartcard_satochip_seedkeeper_tools	ok
smartcard_seedkeeper_load_descriptor	回到首页	home		home	ok
smartcard_seedkeeper_save_descriptor	返回	smartcard_satochip_seedkeeper_tools		smartcard_satochip_seedkeeper_tools	ok
smartcard_seedkeeper_save_descriptor	回到首页	home		home	ok
smartcard_seedkeeper_clone	返回	smartcard_satochip_seedkeeper_tools		smartcard_satochip_seedkeeper_tools	ok
smartcard_seedkeeper_clone	回到首页	home		home	ok
smartcard_seedkeeper_change_pin	返回	smartcard_satochip_seedkeeper_tools		smartcard_satochip_seedkeeper_tools	ok
smartcard_seedkeeper_change_pin	回到首页	home		home	ok
smartcard_seedkeeper_reset	返回	smartcard_satochip_seedkeeper_tools		smartcard_satochip_seedkeeper_tools	ok
smartcard_seedkeeper_reset	回到首页	home		home	ok
smartcard_seedkeeper_generate_masterseed	返回	smartcard_seedkeeper_advanced_tools		smartcard_seedkeeper_advanced_tools	ok
smartcard_seedkeeper_generate_masterseed	回到首页	home		home	ok
smartcard_seedkeeper_generate_2fa_secret	返回	smartcard_seedkeeper_advanced_tools		smartcard_seedkeeper_advanced_tools	ok
smartcard_seedkeeper_generate_2fa_secret	回到首页	home		home	ok
smartcard_seedkeeper_derive_master_password	返回	smartcard_seedkeeper_advanced_tools		smartcard_seedkeeper_advanced_tools	ok
smartcard_seedkeeper_derive_master_password	回到首页	home		home	ok
smartcard_seedkeeper_reset_secret	返回	smartcard_seedkeeper_advanced_tools		smartcard_seedkeeper_advanced_tools	ok
smartcard_seedkeeper_reset_secret	回到首页	home		home	ok
new_seedkeeper_create_mnemonic	返回	new_mnemonic		new_mnemonic	ok
new_seedkeeper_create_mnemonic	回到首页	home		home	ok
load_seedkeeper_mnemonic	返回	load_mnemonic		load_mnemonic	ok
load_seedkeeper_mnemonic	回到首页	home		home	ok
satochip_btc_pubkeys	返回	smartcard_satochip_tools		smartcard_satochip_tools	ok
satochip_btc_pubkeys	回到首页	home		home	ok
satochip_btc_ypub	返回	satochip_btc_pubkeys		satochip_btc_pubkeys	ok
satochip_btc_ypub	回到首页	home		home	ok
satochip_btc_tpub	返回	satochip_btc_pubkeys		satochip_btc_pubkeys	ok
satochip_btc_tpub	回到首页	home		home	ok
satochip_btc_upub	返回	satochip_btc_pubkeys		satochip_btc_pubkeys	ok
satochip_btc_upub	回到首页	home		home	ok
satochip_btc_vpub	返回	satochip_btc_pubkeys		satochip_btc_pubkeys	ok
satochip_btc_vpub	回到首页	home		home	ok
pi_self_check	返回	home		home	ok
tools	返回	home		home	ok
pi_features	返回	home		home	ok
settings	返回	home		home	ok
about	返回	settings		settings	ok
boot_login	返回	settings		settings	ok
login_pin	返回	boot_login		boot_login	ok
login_pin	回到首页	home		home	ok
login_passphrase	返回	boot_login		boot_login	ok
login_passphrase	回到首页	home		home	ok
login_encrypted_backup	返回	boot_login		boot_login	ok
login_encrypted_backup	回到首页	home		home	ok
login_clear_session	返回	boot_login		boot_login	ok
login_clear_session	回到首页	home		home	ok
load_mnemonic	返回	pi_mnemonic_tools		pi_mnemonic_tools	ok
load_camera	返回	load_mnemonic		load_mnemonic	ok
load_camera	回到首页	home		home	ok
load_manual	返回	load_mnemonic		load_mnemonic	ok
load_manual	回到首页	home		home	ok
load_digits	返回	load_mnemonic		load_mnemonic	ok
load_digits	回到首页	home		home	ok
load_steel_restore	返回	load_mnemonic		load_mnemonic	ok
load_steel_restore	回到首页	home		home	ok
load_punch_grid	返回	load_mnemonic		load_mnemonic	ok
load_punch_grid	回到首页	home		home	ok
load_tinyseed_restore	返回	load_punch_grid		load_punch_grid	ok
load_tinyseed_restore	回到首页	home		home	ok
load_stackbit_restore	返回	load_punch_grid		load_punch_grid	ok
load_stackbit_restore	回到首页	home		home	ok
load_sd	返回	load_mnemonic		load_mnemonic	ok
load_sd	回到首页	home		home	ok
load_encrypted_kef	返回	load_mnemonic		load_mnemonic	ok
load_encrypted_kef	回到首页	home		home	ok
new_mnemonic	返回	pi_mnemonic_tools		pi_mnemonic_tools	ok
new_dice_d6	返回	new_mnemonic		new_mnemonic	ok
new_dice_d6	回到首页	home		home	ok
new_coin_entropy	返回	new_mnemonic		new_mnemonic	ok
new_coin_entropy	回到首页	home		home	ok
new_dice_d20	返回	new_mnemonic		new_mnemonic	ok
new_dice_d20	回到首页	home		home	ok
new_cards_entropy	返回	new_mnemonic		new_mnemonic	ok
new_cards_entropy	回到首页	home		home	ok
new_hex_entropy	返回	new_mnemonic		new_mnemonic	ok
new_hex_entropy	回到首页	home		home	ok
new_words_select	返回	new_mnemonic		new_mnemonic	ok
new_words_select	回到首页	home		home	ok
new_camera_entropy	返回	new_mnemonic		new_mnemonic	ok
new_camera_entropy	回到首页	home		home	ok
bip39_check_tools	返回	pi_mnemonic_tools		pi_mnemonic_tools	ok
pi_mnemonic_advanced	返回	pi_mnemonic_tools		pi_mnemonic_tools	ok
bip85_mnemonic	返回	pi_mnemonic_tools		pi_mnemonic_tools	ok
tools_secondary_mnemonic	返回	pi_mnemonic_tools		pi_mnemonic_tools	ok
wallet_home	返回	pi_connect_wallet		pi_connect_wallet	ok
backup_export	返回	pi_mnemonic_tools		pi_mnemonic_tools	ok
backup_seed_words	返回	backup_export		backup_export	ok
backup_seed_words	回到首页	home		home	ok
backup_entropy	返回	backup_export		backup_export	ok
backup_entropy	回到首页	home		home	ok
backup_steel_punch	返回	backup_export		backup_export	ok
backup_steel_punch	回到首页	home		home	ok
backup_stackbit	返回	backup_export		backup_export	ok
backup_stackbit	回到首页	home		home	ok
backup_grid	返回	backup_export		backup_export	ok
backup_grid	回到首页	home		home	ok
backup_seed_qr	返回	backup_export		backup_export	ok
backup_seed_qr	回到首页	home		home	ok
backup_kef	返回	backup_export		backup_export	ok
backup_kef	回到首页	home		home	ok
smartcard_card_info	返回	smartcard_satochip_tools		smartcard_satochip_tools	ok
smartcard_card_info	回到首页	home		home	ok
satochip_path_address	返回	smartcard_satochip_tools		smartcard_satochip_tools	ok
satochip_path_address	回到首页	home		home	ok
satochip_btc_zpub	返回	satochip_btc_pubkeys		satochip_btc_pubkeys	ok
satochip_btc_zpub	回到首页	home		home	ok
satochip_btc_xpub	返回	satochip_btc_pubkeys		satochip_btc_pubkeys	ok
satochip_btc_xpub	回到首页	home		home	ok
tools_create_qr	返回	tools		tools	ok
tools_qr_capture	返回	tools		tools	ok
tools_file_manager	返回	tools		tools	ok
settings_pin	返回	settings		settings	ok
settings_display	返回	settings		settings	ok
settings_camera	返回	settings		settings	ok
settings_wallet	返回	settings		settings	ok
settings_security	返回	settings		settings	ok
device_tests	返回	pi_self_check		pi_self_check	ok
test_screen_touch	返回	device_tests		device_tests	ok
test_screen_touch	回到首页	home		home	ok
test_camera	返回	device_tests		device_tests	ok
test_camera	回到首页	home		home	ok
test_storage	返回	device_tests		device_tests	ok
test_storage	回到首页	home		home	ok
test_power	返回	device_tests		device_tests	ok
test_power	回到首页	home		home	ok
smartcard_probe	返回	pi_self_check		pi_self_check	ok
system_overview	返回	pi_self_check		pi_self_check	ok
security_check	返回	pi_self_check		pi_self_check	ok
delivery_check	返回	pi_self_check		pi_self_check	ok
